row_index,site_info_id,variable,value
10,2215.0,log_soc_stock,3.590526111663635
45,486.0,log_soc_stock,2.6915684928161467
160,319.0,log_soc_stock,2.7337574622014698
202,2690.0,log_soc_stock,2.828576886238357
222,377.0,log_soc_stock,2.6363982198092546
319,493.0,log_soc_stock,2.601027460110915
474,2203.0,log_soc_stock,2.9192284858530773
539,756.0,log_soc_stock,3.056971008992849
594,671.0,log_soc_stock,2.677131237149128
812,1336.0,log_soc_stock,2.9688872195527316
102,2170.0,X_coord,1447980.4476872887
103,68.0,X_coord,190965.71475758983
106,2273.0,X_coord,1429808.778786264
108,72.0,X_coord,190374.2191640185
110,74.0,X_coord,188693.78195870836
111,77.0,X_coord,186661.9775130403
179,89.0,X_coord,191319.68663627293
212,73.0,X_coord,180616.9354139227
217,67.0,X_coord,189110.8316824957
379,112.0,X_coord,188693.518880664
692,1945.0,X_coord,1442770.037992022
739,1560.0,X_coord,1457458.5624087802
755,1558.0,X_coord,1482544.1461838111
763,2819.0,X_coord,182245.36813016812
767,2814.0,X_coord,190112.5949673513
802,2091.0,X_coord,1449301.6386054084
806,2118.0,X_coord,1452945.342693118
821,1907.0,X_coord,1433303.1329771294
831,1875.0,X_coord,1448477.828084048
841,2157.0,X_coord,1436195.733502983
2,17.0,Y_coord,9488118.432205807
658,3612.0,Y_coord,8045319.741371297
666,3556.0,Y_coord,8017251.063739944
675,3557.0,Y_coord,8016153.424302365
682,21.0,Y_coord,9477329.818728156
693,19.0,Y_coord,9480662.170857074
720,3553.0,Y_coord,8028140.292595657
732,3608.0,Y_coord,8008304.209775802
736,3633.0,Y_coord,8000437.715206425
738,3632.0,Y_coord,8002473.869213744
740,3629.0,Y_coord,8025528.671410324
742,3634.0,Y_coord,7998325.191518262
764,2922.0,Y_coord,8080642.989718194
818,24.0,Y_coord,9476781.021661576
850,9.0,Y_coord,9492982.1775849
858,20.0,Y_coord,9478252.972370552
861,22.0,Y_coord,9477903.25148361
872,14.0,Y_coord,9489646.449242895
878,15.0,Y_coord,9487680.754844984
888,4.0,Y_coord,9500310.25667522
95,2249.0,year,1946.0
293,2376.0,year,1946.0
320,3703.0,year,1952.0
263,2770.0,faosoil_id,131.0
609,2897.0,faosoil_id,131.0
688,3325.0,faosoil_id,128.0
720,3553.0,faosoil_id,129.0
767,2814.0,faosoil_id,133.0
894,2572.0,faosoil_id,132.0
644,409.0,landsurface_value,0.0
666,3556.0,landsurface_value,0.0
738,3632.0,landsurface_value,0.0
644,409.0,litho_value,0.0
666,3556.0,litho_value,0.0
738,3632.0,litho_value,0.0
2,17.0,conv_rangeland_1950,17.13189
10,2215.0,conv_rangeland_1950,53.75632
177,170.0,conv_rangeland_1950,23.480537
186,175.0,conv_rangeland_1950,61.520126
272,125.0,conv_rangeland_1950,40.62427
276,126.0,conv_rangeland_1950,40.62427
284,153.0,conv_rangeland_1950,55.64883
858,20.0,conv_rangeland_1950,9.960634
861,22.0,conv_rangeland_1950,9.960634
878,15.0,conv_rangeland_1950,17.13189
2,17.0,conv_rangeland_1960,19.305183
177,170.0,conv_rangeland_1960,26.44367
186,175.0,conv_rangeland_1960,69.32537
264,48.0,conv_rangeland_1960,16.484056
272,125.0,conv_rangeland_1960,45.788826
276,126.0,conv_rangeland_1960,65.623924
536,51.0,conv_rangeland_1960,16.484056
872,14.0,conv_rangeland_1960,37.437237
878,15.0,conv_rangeland_1960,19.305183
95,2249.0,cropland_1950,19.946777
401,2301.0,cropland_1950,15.657247
407,2298.0,cropland_1950,15.657247
453,2302.0,cropland_1950,18.619205
495,2314.0,cropland_1950,18.619205
506,2303.0,cropland_1950,18.619205
519,2313.0,cropland_1950,17.027334
529,2305.0,cropland_1950,16.27992
628,2567.0,cropland_1950,15.919051
637,2540.0,cropland_1950,15.424731
95,2249.0,cropland_1960,20.370455
453,2302.0,cropland_1960,22.301388
463,2296.0,cropland_1960,18.077131
465,2279.0,cropland_1960,20.281467
470,2177.0,cropland_1960,18.053167
482,2268.0,cropland_1960,18.179058
495,2314.0,cropland_1960,19.530607
506,2303.0,cropland_1960,22.301388
519,2313.0,cropland_1960,19.676144
529,2305.0,cropland_1960,19.588934
15,2479.0,grazing_1950,68.24937
173,2175.0,grazing_1950,68.183586
178,2184.0,grazing_1950,68.183586
197,2195.0,grazing_1950,68.093285
199,2222.0,grazing_1950,68.093285
234,2193.0,grazing_1950,68.093285
289,2210.0,grazing_1950,68.13313
344,2377.0,grazing_1950,69.005646
471,2891.0,grazing_1950,0.0
553,2896.0,grazing_1950,0.0
609,2897.0,grazing_1950,0.0
693,19.0,grazing_1950,0.0
741,1274.0,grazing_1950,0.0
749,1164.0,grazing_1950,0.0
758,1133.0,grazing_1950,0.0
761,1116.0,grazing_1950,0.0
780,1818.0,grazing_1950,0.0
797,1998.0,grazing_1950,0.0
798,2595.0,grazing_1950,68.086914
817,2716.0,grazing_1950,67.983315
15,2479.0,grazing_1960,76.53687
173,2175.0,grazing_1960,77.296906
178,2184.0,grazing_1960,77.296906
199,2222.0,grazing_1960,76.71006
249,2265.0,grazing_1960,76.96261
289,2210.0,grazing_1960,77.82673
364,2468.0,grazing_1960,76.570816
432,1491.0,grazing_1960,0.7159728
471,2891.0,grazing_1960,0.0
553,2896.0,grazing_1960,0.0
609,2897.0,grazing_1960,0.0
749,1164.0,grazing_1960,0.0
758,1133.0,grazing_1960,0.0
761,1116.0,grazing_1960,0.0
773,865.0,grazing_1960,0.0
780,1818.0,grazing_1960,0.0
797,1998.0,grazing_1960,0.0
798,2595.0,grazing_1960,76.7635
817,2716.0,grazing_1960,76.61828
857,2648.0,grazing_1960,76.66019
190,2150.0,ir_norice_1950,0.07973213
194,2169.0,ir_norice_1950,0.07973213
225,2155.0,ir_norice_1950,0.07973213
295,2124.0,ir_norice_1950,7.122021
531,1673.0,ir_norice_1950,3.734763
295,2124.0,ir_norice_1960,6.211026
25,160.0,pasture_1950,60.190342
56,166.0,pasture_1950,60.190342
273,1729.0,pasture_1950,60.053463
429,2312.0,pasture_1950,63.486115
455,2311.0,pasture_1950,63.486115
543,1597.0,pasture_1950,61.620594
560,708.0,pasture_1950,62.070236
561,706.0,pasture_1950,62.070236
622,850.0,pasture_1950,59.025566
23,169.0,pasture_1960,67.82336
25,160.0,pasture_1960,67.82336
56,166.0,pasture_1960,67.82336
230,118.0,pasture_1960,68.33443
429,2312.0,pasture_1960,69.50943
455,2311.0,pasture_1960,69.50943
543,1597.0,pasture_1960,69.4465
560,708.0,pasture_1960,69.9587
562,3738.0,pasture_1960,73.2234
641,704.0,pasture_1960,68.578575
15,2479.0,rangeland_1950,68.24937
173,2175.0,rangeland_1950,68.183586
178,2184.0,rangeland_1950,68.183586
197,2195.0,rangeland_1950,68.093285
199,2222.0,rangeland_1950,68.093285
234,2193.0,rangeland_1950,68.093285
289,2210.0,rangeland_1950,68.13313
344,2377.0,rangeland_1950,69.005646
798,2595.0,rangeland_1950,68.086914
817,2716.0,rangeland_1950,67.983315
15,2479.0,rangeland_1960,76.53687
173,2175.0,rangeland_1960,77.296906
178,2184.0,rangeland_1960,77.296906
199,2222.0,rangeland_1960,76.71006
249,2265.0,rangeland_1960,76.96261
289,2210.0,rangeland_1960,77.82673
364,2468.0,rangeland_1960,76.570816
798,2595.0,rangeland_1960,76.7635
817,2716.0,rangeland_1960,76.61828
857,2648.0,rangeland_1960,76.66019
190,2150.0,tot_irri_1950,0.07973213
194,2169.0,tot_irri_1950,0.07973213
225,2155.0,tot_irri_1950,0.07973213
295,2124.0,tot_irri_1950,7.122021
531,1673.0,tot_irri_1950,3.734763
736,3633.0,tot_irri_1950,7.9556866
738,3632.0,tot_irri_1950,5.712715
