profile,n_samples,n_unique_depths,organic_carbon_missing,total_n_missing,bulk_density_missing,insufficient_data
100_56,5,4,0,0,0,False
100_58,4,4,1,0,0,False
100_59,3,3,0,0,0,False
100_61,6,6,2,0,0,False
100_63,7,7,2,0,0,False
101A_58,5,5,1,0,0,False
101C_63,6,6,2,0,0,False
101_56,4,4,0,0,0,False
101_62,6,5,2,0,0,False
102_55,5,3,0,0,0,False
102_67H,4,4,0,0,0,False
103_55,6,4,0,0,0,False
103_63,6,6,6,0,0,False
103_64,2,2,0,0,0,False
103_69,3,3,0,0,0,False
104C_60,5,5,2,0,0,False
104C_62,6,6,3,0,0,False
104C_63,2,2,2,0,0,False
104_56,3,3,0,0,0,False
104_58,4,4,1,0,0,False
104_63,6,6,6,0,0,False
105C_62,5,5,2,0,0,False
105_56,7,4,1,0,0,False
105_57,5,3,2,0,0,False
106C_63,5,5,5,0,0,False
107C_62,4,4,1,0,0,False
107_54,4,2,4,0,0,False
107_58,2,2,0,0,0,False
107_61,4,4,1,0,0,False
107_63,3,3,3,0,0,False
107_65,5,5,0,0,0,False
107_66,5,5,2,0,0,False
107_70,3,3,0,0,0,False
108_57,4,3,0,0,0,False
108_61,4,4,0,0,0,False
108_65,4,4,0,0,0,False
109C_63,5,5,2,0,0,False
109_58,4,3,0,0,0,False
109_62,4,4,0,0,0,False
109_70,5,5,0,0,0,False
10_54,3,2,0,0,0,False
10_55,6,4,0,0,0,False
110C_60,6,5,2,0,0,False
110_57,6,5,2,0,0,False
110_62,2,2,2,0,0,False
111C_60,3,3,0,0,0,False
111C_62,4,4,1,0,0,False
111C_63,6,6,2,0,0,False
111_54,3,3,0,0,0,False
111_56,8,5,0,0,0,False
111_64,6,6,0,0,0,False
111_68,5,5,0,0,0,False
112C_62,3,3,0,0,0,False
112_46,3,3,0,0,0,False
113C_60,7,7,2,0,0,False
113C_63,2,2,2,0,0,False
113_54,2,2,0,0,0,False
113_57,3,3,1,0,0,False
113_58,3,2,0,0,0,False
113_63,6,6,1,0,0,False
113_67,4,4,0,0,0,False
114_55,5,3,2,0,0,False
114_57,4,3,2,0,0,False
114_58,4,4,1,0,0,False
114_61,5,5,2,0,0,False
115C_63,5,5,1,0,0,False
115C_65,5,5,1,0,0,False
115_54,2,2,0,0,0,False
115_58,4,4,0,0,0,False
115_59,6,6,2,0,0,False
115_61,3,3,0,0,0,False
116C_62,3,3,1,0,0,False
116C_63,3,3,3,0,0,False
116_54,1,1,0,0,0,True
116_57,4,4,0,0,0,False
116_58,4,4,0,0,0,False
116_59,6,6,1,0,0,False
116_65,6,6,2,0,0,False
116_68,5,5,0,0,0,False
116_69,4,4,1,0,0,False
117_61,5,5,2,0,0,False
118_55,6,5,6,0,0,False
118_60,6,6,0,0,0,False
118_61,4,4,1,0,0,False
118_62,6,6,1,0,0,False
119_46,4,3,0,0,0,False
119_54,3,2,3,0,0,False
119_57,5,3,1,0,0,False
119_59,6,5,2,0,0,False
119_63,7,7,3,0,0,False
11C_63,5,5,1,0,0,False
11_61,6,6,2,0,0,False
11_68,6,6,0,0,0,False
120C_60,6,5,2,0,0,False
120C_62,6,6,2,0,0,False
120_46,3,2,0,0,0,False
120_54,4,2,0,0,0,False
120_56,5,4,0,0,0,False
120_58,5,4,1,0,0,False
120_59,6,5,2,0,0,False
120_60,6,6,2,0,0,False
120_63,5,5,5,0,0,False
120_69,5,5,0,0,0,False
120_70,4,4,0,0,0,False
121C_60,3,3,0,0,0,False
121C_63,2,2,2,0,0,False
121C_64,5,5,0,0,0,False
121_54,4,2,0,0,0,False
121_57,4,3,1,0,0,False
121_59,5,4,5,0,0,False
121_60,5,5,1,0,0,False
121_63,7,6,7,0,0,False
121_70,5,5,0,0,0,False
122_55,5,4,0,0,0,False
122_62,5,5,1,0,0,False
122_68,4,4,0,0,0,False
123C_63,5,5,2,0,0,False
123_56,5,4,0,0,0,False
123_63,6,5,2,0,0,False
123_68,3,3,0,0,0,False
124C_60,5,5,0,0,0,False
124_56,3,3,0,0,0,False
124_61,4,4,0,0,0,False
125_58,5,5,1,0,0,False
125_59,7,5,2,0,0,False
126C_62,4,4,1,0,0,False
126C_63,3,3,0,0,0,False
126C_64,2,2,0,0,0,False
126_54,4,3,0,0,0,False
127C_60,4,4,0,0,0,False
127C_64,4,4,0,0,0,False
127_54,5,3,0,0,0,False
127_61,5,5,2,0,0,False
127_66,6,6,2,0,0,False
128C_52,3,2,0,0,0,False
128C_64,5,5,0,0,0,False
128_54,5,3,0,0,0,False
128_59,4,4,4,0,0,False
128_62,7,7,3,0,0,False
129C_65,5,5,1,0,0,False
129_54,5,2,0,0,0,False
12C_63,1,1,1,0,0,True
12_63,5,5,5,0,0,False
130C_62,3,3,0,0,0,False
130C_64,4,4,1,0,0,False
130_55,6,6,6,0,0,False
130_58,4,4,1,0,0,False
130_61,5,5,1,0,0,False
130_64,5,5,1,0,0,False
131C_62,4,4,1,0,0,False
131_59,5,4,2,0,0,False
132C_65,6,6,0,0,0,False
132_56,2,2,0,0,0,False
132_59,6,6,6,0,0,False
132_61,5,5,1,0,0,False
132_63,6,6,6,0,0,False
133_59,6,6,6,0,0,False
134_56,3,3,3,0,0,False
134_59,6,6,1,0,0,False
134_60,4,4,0,0,0,False
134_63,7,7,1,0,0,False
134_64,3,3,0,0,0,False
135C_60,6,6,2,0,0,False
135_60,4,4,0,0,0,False
136C_62,2,2,2,0,0,False
136_56,3,3,3,0,0,False
136_63,7,7,7,0,0,False
137C_63,4,4,0,0,0,False
137_60,3,3,1,0,0,False
137_63,4,4,4,0,0,False
138C_60,6,6,2,0,0,False
138_54,3,3,0,0,0,False
138_55,5,5,0,0,0,False
138_58,3,3,0,0,0,False
138_59,5,5,5,0,0,False
138_61,5,5,1,0,0,False
139C_52,2,2,0,0,0,False
139C_63,4,4,0,0,0,False
139_46,2,2,0,0,0,False
139_54,4,3,0,0,0,False
139_61,4,4,1,0,0,False
139_69,6,6,2,0,0,False
139_70,5,5,0,0,0,False
13C_60,6,6,2,0,0,False
13C_63,5,5,2,0,0,False
13_63,6,5,2,0,0,False
13_66,4,4,0,0,0,False
140C_63,4,4,1,0,0,False
140_54,4,2,0,0,0,False
