profile,soc_harmonized_percent,soc_stock_0_30cm,flag_negative_original,X_coord,Y_coord,log_soc_stock
100_56,0.723829142297261,2.52751426253905,False,16.269295,-12.580465,1.260593447979479
100_58,1.229639423076923,4.255625107294275,False,13.950172,-12.0353,1.6592989520201566
100_59,0.755,0.0,False,12.733427,-4.6274204,0.0
100_63,0.3533056853270776,1.643338674864,False,18.115896,-11.460891,0.9720427677322168
101A_58,0.7672909413479593,2.795671542651,False,13.935472,-12.0587845,1.3338613497782212
101C_63,0.411455488286207,2.821242311384,False,17.55221,-10.999976,1.3405755821525809
101_56,0.5424158249722839,3.8786161781478405,False,16.295847,-12.568941,1.5848616095997943
101_62,0.2990434031521841,1.9200048597510002,False,16.711246,-13.611005,1.0715852805770931
102_55,1.1845522971413713,2.3470141609199997,False,15.136114,-13.661247,1.2080686531494294
103_55,0.49473150919132125,0.766744824744,False,15.1395855,-13.636375,0.56913877133252
103_64,9.05,35.253144112,False,22.363441,-12.742808,3.590526111663635
104C_60,2.682109236302418,8.188551068945,False,14.767887,-6.3018823,2.217958260057579
104_56,1.4611287807594586,3.0400010533542,False,16.239548,-12.544614,1.3962449527042624
104_58,0.18112885612885607,1.155063946282,False,13.883237,-12.138068,0.767820396564187
105_56,0.6259020626529475,2.67901002363,False,16.273443,-12.503834,1.3026437006717935
105_57,0.05222833961929792,0.11252246736059998,False,12.62433,-13.610002,0.10662993023464887
107_58,0.40853658536585363,1.0013546399339999,False,13.844187,-12.198673,0.6938242712493001
107_66,0.32629360465116275,1.7799339658650002,False,17.573782,-14.194015,1.0224271741344608
108_57,0.920075570926658,1.50375588156,False,14.612524,-13.44312,0.9177919570954813
109C_63,0.21346700767263424,0.509556013008,False,17.593925,-11.332899,0.41181557647067796
109_58,0.353205969095116,0.37158494153304994,False,13.796095,-12.209548,0.3159669627865551
109_62,0.451160103603129,1.9096709470469997,False,16.778372,-13.896562,1.0680399981736073
10_55,1.0575801052128169,2.5390445381999998,False,13.455059,-14.977228,1.2638567862516412
110C_60,1.1088016192183796,1.57040928428,False,14.635114,-6.152014,0.9440651408111209
110_57,1.7761031840563193,7.9837917012,False,14.631892,-13.368449,2.1954220316375226
111C_60,1.2657108876786296,3.58242760995,False,14.61324,-6.104879,1.5222289035420271
111C_63,0.3328784536663882,2.17321548378,False,17.618519,-11.491941,1.1547454219812658
111_56,0.7751647782602775,3.5320822695693,False,16.236534,-12.379929,1.5111814960392347
111_64,0.23197600274128488,1.9053738866910002,False,21.126726,-12.543582,1.0665620865629475
113C_60,1.3539894358754714,5.200653460073,False,14.538367,-5.9570575,1.8246546832831627
113_57,0.7845454545454545,4.175113292064,False,14.624539,-13.31507,1.6438612310980827
113_58,0.49111111111111116,0.474503851062,False,13.852729,-12.088193,0.3883215610446221
113_63,0.4872136692222311,2.5670608224539997,False,17.803368,-11.161855,1.2717419576622746
114_55,0.20669952210274778,1.53821094970725,False,15.490315,-13.780213,0.9314594823501289
114_57,0.8193617021276596,2.79474901544475,False,14.611894,-13.289028,1.3336182730728576
114_58,0.4220048684210526,2.07636740394915,False,13.806347,-12.050474,1.1237494866268645
115C_63,0.17114093440725603,1.420477362436,False,17.452658,-10.632907,0.8839647779209093
115C_65,0.3804459996234671,1.8534381621000002,False,20.516947,-9.659524,1.048524639864417
115_56,0.3357875674299693,1.90547773818,False,16.442312,-12.683521,1.0665978305453154
115_58,0.6890084650517004,1.6001491565085,False,13.796293,-12.028396,0.9555688112698466
115_59,0.3481198237711396,1.513145467338,False,12.348583,-5.0651,0.9215351428145019
116_57,0.5001302618838283,5.0361324830433,False,14.501064,-13.210611,1.7977634894790615
116_58,0.6111111651807842,2.9996901715741497,False,13.765419,-12.020459,1.3862169010134715
116_59,1.2005946882016751,3.7721936756000005,False,12.393414,-4.9914308,1.5628060892461189
