profile_record_id,profile,site_info_id,sample_id,soil_type_id
17,1_61,3,,
33,1_64,5,,
34,1_66,6,,
35,1_69,7,,
36,1_70,8,,
52,10_59,11,,7.0
53,10_62,12,,
54,10_63,13,,8.0
55,10_66,14,,
56,100_46,15,,
57,100_55,16,,
89,100_62,21,,
104,100_66,23,,
105,100_68,24,,
106,100_70,25,,
107,100c_60,26,,
108,100c_62,27,,15.0
109,100c_63,28,,16.0
110,100c_64,29,,
111,101_46,30,,
112,101_54,31,,
113,101_55,32,,
124,101_59,34,,18.0
125,101_60,35,,
126,101_61,36,,
138,101_63,38,,20.0
139,101_64,39,,
140,101_66,40,,
141,101_67,41,,
142,101_70,42,,
158,101c_60,45,,
159,101c_62,46,,
160,101c_63,47,,24.0
161,101c_65,48,,
162,102_46,49,,
172,102_59,51,,26.0
173,102_61,52,,
174,102_63,53,,27.0
175,102_66,54,,
176,102_67,55,,
185,102_69,57,,
186,102c_63,58,,29.0
187,102c_65,59,,
188,103_46,60,,
200,103_59,62,,31.0
201,103_61,63,,32.0
218,103_66,66,,
219,103_68,67,,
230,103c_60,70,,
231,103c_62,71,,
232,103c_63,72,,37.0
233,103c_64,73,,38.0
234,103c_65,74,,
235,104_55,75,,
243,104_57,77,,
253,104_59,79,,41.0
254,104_60,80,,
255,104_61,81,,
268,104_64,83,,
269,104_66,84,,
270,104_68,85,,
271,104_70,86,,
272,104c_60,87,,43.0
273,104c_62,88,,44.0
274,104c_63,89,,45.0
275,105_46,90,,
295,105_59,93,,48.0
296,105_63,94,,49.0
297,105_66,95,,
298,105_69,96,,
299,105c_60,97,,
300,105c_62,98,,50.0
301,105c_63,99,,51.0
302,106_59,100,,52.0
303,106_61,101,,
304,106_63,102,,53.0
305,106_66,103,,
310,106c_62,105,,
311,106c_63,106,,55.0
320,107_57,109,,
326,107_59,111,,59.0
338,107_64,114,,
370,107c_62,119,,66.0
371,107c_63,120,,67.0
379,108_58,122,,
380,108_59,123,,69.0
386,108_62,125,,
387,108_63,126,,71.0
399,108_66,128,,
400,108_69,129,,
401,108c_60,130,,
402,108c_62,131,,
403,108c_63,132,,73.0
404,109_54,133,,
405,109_57,134,,
413,109_59,136,,75.0
423,109_63,138,,77.0
424,109_66,139,,
438,109c_60,142,,
439,109c_63,143,,80.0
440,109c_65,144,,81.0
441,10c_60,145,,
442,10c_63,146,,82.0
443,10c_64,147,,
444,10c_65,148,,
445,11_54,149,,
446,11_59,150,,84.0
453,11_63,152,,86.0
454,11_64,153,,
455,11_65,154,,
456,11_66,155,,
469,110_54,157,,
470,110_55,158,,
482,110_58,160,,
483,110_59,161,,89.0
488,110_63,163,,91.0
489,110_66,164,,
495,110c_60,166,,93.0
496,110c_62,167,,
497,110c_63,168,,94.0
498,110c_64,169,,
505,111_55,171,,
519,111_57,173,,
520,111_59,174,,97.0
521,111_62,175,,
522,111_63,176,,98.0
535,111_66,178,,
546,111_70,180,,
547,111c_60,181,,102.0
548,111c_62,182,,103.0
549,111c_63,183,,104.0
550,111c_65,184,,
557,112_56,186,,
558,112_57,187,,
559,112_59,188,,106.0
560,112_63,189,,107.0
561,112_66,190,,
562,112_70,191,,
563,112c_62,192,,108.0
564,112c_63,193,,109.0
575,113_56,196,,
588,113_59,199,,114.0
589,113_62,200,,
602,113_65,202,,
603,113_66,203,,
612,113_68,205,,
613,113_70,206,,118.0
614,113c_60,207,,119.0
615,113c_63,208,,120.0
616,113c_64,209,,
643,114_59,213,,124.0
649,114_63,215,,126.0
650,114_66,216,,
651,114_70,217,,127.0
652,114c_62,218,,
653,114c_63,219,,128.0
695,115_62,225,,
696,115_63,226,,134.0
697,115_66,227,,
698,115_68,228,,
699,115_69,229,,
703,115c_62,231,,
704,115c_63,232,,136.0
705,115c_65,233,,137.0
738,116_63,238,,142.0
751,116_66,240,,
770,116c_62,243,,146.0
771,116c_63,244,,147.0
772,117_57,245,,
773,117_59,246,,148.0
779,117_63,248,,150.0
780,117_66,249,,
781,117_68,250,,
782,117_69,251,,
783,117_70,252,,
784,117A_57,253,,
785,117c_60,254,,
786,117c_63,255,,151.0
787,117c_65,256,,
788,118_54,257,,
800,118_59,259,,154.0
830,118_63,263,,158.0
831,118_64,264,,
832,118_66,265,,
833,118_68,266,,
834,118c_60,267,,
835,118c_63,268,,159.0
869,119_62,273,,
884,119_66,275,,
885,119_69,276,,
886,119c_60,277,,
887,119c_62,278,,167.0
888,119c_63,279,,168.0
894,11c_63,281,,170.0
895,11c_64,282,,
896,11c_65,283,,
897,12_54,284,,171.0
898,12_59,285,,173.0
899,12_60,286,,
900,12_61,287,,
912,12_65,289,,
913,12_66,290,,
914,12_69,291,,
915,12_70,292,,
970,120_61,299,,181.0
971,120_62,300,,
983,120_65,302,,
984,120_66,303,,
1003,120c_60,306,,185.0
1004,120c_62,307,,186.0
1005,120c_63,308,,187.0
1044,121_62,314,,
1058,121_66,316,,
1059,121_69,317,,
1070,121c_60,319,,195.0
1071,121c_62,320,,
1072,121c_63,321,,196.0
1073,121c_64,322,,197.0
1074,122_54,323,,
1085,122_56,325,,
1086,122_59,326,,199.0
1098,122_63,328,,201.0
1099,122_64,329,,
1109,122_70,332,,
1110,122c_62,333,,
1111,122c_63,334,,204.0
1121,123_57,336,,
1122,123_59,337,,206.0
1123,123_60,338,,
1124,123_62,339,,
1137,123_66,341,,
1144,123_69,343,,
1148,123c_60,345,,
1149,123c_62,346,,
1150,123c_63,347,,210.0
1151,123c_65,348,,
1152,124_46,349,,
1160,124_57,351,,
1161,124_59,352,,212.0
1170,124_62,354,,
1171,124_63,355,,214.0
1172,124_66,356,,
1173,124_68,357,,
1178,124c_60,359,,216.0
1179,124c_62,360,,
1180,124c_63,361,,217.0
1181,124c_64,362,,218.0
1182,125_56,363,,
1205,125_61,366,,
1206,125_63,367,,221.0
1207,125_65,368,,
1208,125_66,369,,
1214,125c_60,371,,
1215,125c_63,372,,223.0
1216,125c_64,373,,
1224,126_59,375,,225.0
1225,126_63,376,,226.0
1226,126_66,377,,
1227,126_69,378,,
1228,126c_62,379,,228.0
1229,126c_63,380,,229.0
1230,126c_64,381,,230.0
1239,127_59,383,,232.0
1246,127_62,385,,
1247,127_63,386,,234.0
1248,127_65,387,,
1264,127c_60,390,,237.0
1265,127c_62,391,,
1266,127c_64,392,,239.0
1275,128_56,394,,
1299,128_63,397,,244.0
1300,128_66,398,,
1301,128_68,399,,
1302,128_69,400,,
1303,128_70,401,,
1313,128c_52,404,,247.0
1314,128c_62,405,,
1315,128c_63,406,,249.0
1316,128c_64,407,,250.0
1324,129_56,409,,
1325,129_59,410,,252.0
1326,129_62,411,,
1327,129_63,412,,253.0
1328,129_66,413,,
1329,129_70,414,,
1334,129c_64,416,,
1335,129c_65,417,,256.0
1336,12c_60,418,,
1337,12c_63,419,,257.0
1338,12c_65,420,,
1339,13_56,421,,258.0
1340,13_57,422,,
1341,13_59,423,,259.0
1342,13_61,424,,
1363,13_68,427,,
1364,130_54,428,,262.0
1377,130_56,430,,
1386,130_59,432,,265.0
1387,130_60,433,,
1398,130_62,435,,
1399,130_63,436,,267.0
1411,130_66,438,,
1412,130_68,439,,269.0
1413,130_69,440,,
1414,130_70,441,,
1419,130c_60,443,,
1420,130c_62,444,,271.0
1421,130c_63,445,,272.0
1422,130c_64,446,,273.0
1423,131_54,447,,274.0
1424,131_56,448,,
1434,131_60,450,,
1435,131_63,451,,276.0
1436,131_66,452,,
1443,131c_62,454,,278.0
1444,131c_64,455,,
1445,132_46,456,,
1474,132_62,460,,
1487,132_64,462,,
1488,132_66,463,,
1489,132c_60,464,,
1490,132c_64,465,,
1491,132c_65,466,,285.0
1492,133_54,467,,286.0
1505,133_60,469,,288.0
1506,133_61,470,,
1507,133_63,471,,289.0
1508,133_64,472,,
1509,133_66,473,,
1510,133_68,474,,290.0
1511,133_69,475,,
1512,133c_60,476,,
1513,133c_62,477,,
1514,133c_63,478,,291.0
1519,134_46,480,,
1520,134_54,481,,
1521,134_55BA,482,,
1550,134_62,486,,
1575,134_66,489,,
1576,134c_60,490,,
1577,134c_63,491,,298.0
1578,135_46,492,,
1579,135_54,493,,299.0
1580,135_56,494,,
1581,135_59,495,,300.0
1590,135_61,497,,302.0
1591,135_62,498,,
1592,135_63,499,,303.0
1593,135_66,500,,
1594,135_70,501,,304.0
1600,135c_60,503,,306.0
1601,135c_62,504,,
1602,135c_63,505,,307.0
1603,136_46,506,,
1611,136_58,508,,309.0
1612,136_59,509,,310.0
1613,136_60,510,,
1614,136_61,511,,
1615,136_62,512,,
1630,136_66,514,,
1631,136_69,515,,
1643,136c_62,518,,314.0
1644,136c_63,519,,315.0
1645,137_59,520,,316.0
1653,137_62,522,,
1662,137_64,524,,
1663,137_66,525,,
1664,137_67,526,,
1665,137_70,527,,319.0
1671,137c_60,530,,
1672,137c_63,531,,322.0
1673,138_46,532,,
1706,138_60,537,,
1717,138_62,539,,
1718,138_63,540,,329.0
1719,138_66,541,,
1720,138_67,542,,
1721,138_69,543,,
1722,138_70,544,,
1723,138c_60,545,,330.0
1724,138c_62,546,,
1725,138c_63,547,,331.0
1740,139_55,550,,
1741,139_56,551,,
1742,139_59,552,,334.0
1743,139_60,553,,
1753,139_62,555,,
1754,139_63,556,,336.0
1755,139_66,557,,
1756,139_68,558,,
1784,139c_62,562,,
1785,139c_63,563,,341.0
1786,13c_60,564,,342.0
1787,13c_63,565,,343.0
1788,14_55,566,,
1798,14_57,568,,
1809,14_62,570,,
1810,14_63,571,,346.0
1827,14_69,574,,
1840,140_59,577,,351.0
1841,140_60,578,,
1842,140_62,579,,
1857,140_64,581,,
1858,140_66,582,,
1859,140_70,583,,
1860,140c_63,584,,355.0
1861,140c_65,585,,
1874,141_60,587,,
1898,141_65,590,,
1899,141_66,591,,
1900,141_70,592,,359.0
1901,141c_60,593,,
1902,141c_63,594,,360.0
1903,141c_64,595,,361.0
1904,141c_65,596,,
1911,142_55,598,,
1912,142_59,599,,363.0
1913,142_60,600,,
1919,142_62,602,,
1920,142_63,603,,365.0
1921,142_69,604,,
1922,142_70,605,,
1923,142c_60,606,,366.0
1924,142c_62,607,,367.0
