lab_sample_id,analysis_id,horizon_id,sample_id,profile,EG,thick_clay,fine_clay,silt,clay,Eq_Hum,atm_1/3,atm_15,CACO3,gypsum,free_iron,organic_carbon,total_N,P205,organic_material,pH_H2O,pH_KCL,Ca++,Mg++,Na+,K+,exchangable_bases_sum,CEC,V,conductivity,soluble_sodium,"Min_<0,002","Min_0,05-0,02","Min_0,2-0,05","Min_2-0,2",field_sample_code,Depth,Al,Si,P,S,Cl,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Zr,Nb,Mo,Cd,Sn,Sb,Ba,Ta,W,Pt,Au,Hg,Tl,Pb,Bi,Th,U
658,Bg_185a/58_1_1,Bg_185a/58_1_1,5910,185a_58,,,,,,,,,7.1,17.4,,,,,,,,,,,,,13.64,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Bg_185a/58_2_1,Bg_185a/58_2_1,5911,185a_58,,,,,,,,,7.9,18.9,,,,,,,,,,,,,14.01,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Bg_185a/58_3_1,Bg_185a/58_3_1,5912,185a_58,,,,,,,,,8.1,8.2,,,,,,,,,,,,,14.48,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Bn_101/68_1_1,Bn_101/68_1_1,19391,101_68,,20.6,61.9,2.1,15.4,,,,,,,1.08,,,1.9,6.6,5.6,,,,,,12.36,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Bn_101/68_2_1,Bn_101/68_2_1,19392,101_68,,19.1,54.0,5.1,21.8,,,,,,,0.71,,,1.2,6.2,4.8,,,,,,15.43,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,Bn_101/68_3_1,Bn_101/68_3_1,19393,101_68,,19.5,52.9,4.7,22.9,,,,,,,0.47,,,0.8,6.7,5.0,,,,,,15.13,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Bn_101/68_4_1,Bn_101/68_4_1,19394,101_68,,18.4,51.6,5.7,24.3,,,,,,,0.31,,,0.5,7.1,5.4,,,,,,16.97,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Bn_507/67_1_1,Bn_507/67_1_1,18755,507_67,,50.3,43.6,0.4,5.7,,,,,,,0.18,,,0.3,5.0,4.1,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Bn_507/67_2_1,Bn_507/67_2_1,18756,507_67,,49.7,42.0,0.9,7.4,,,,,,,0.13,,,0.2,4.8,4.2,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Bn_507/67_3_1,Bn_507/67_3_1,18757,507_67,,45.9,44.7,0.7,8.7,,,,,,,0.13,,,0.2,5.0,4.2,,,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
