lab_sample_id,analysis_id,horizon_id,sample_id,profile,EG,thick_clay,fine_clay,silt,clay,Eq_Hum,atm_1/3,atm_15,CACO3,gypsum,free_iron,organic_carbon,total_N,P205,organic_material,pH_H2O,pH_KCL,Ca++,Mg++,Na+,K+,exchangable_bases_sum,CEC,V,conductivity,soluble_sodium,"Min_<0,002","Min_0,05-0,02","Min_0,2-0,05","Min_2-0,2",field_sample_code,Depth,Al,Si,P,S,Cl,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Zr,Nb,Mo,Cd,Sn,Sb,Ba,Ta,W,Pt,Au,Hg,Tl,Pb,Bi,Th,U
93,B_152/61_1_1,B_152/61_1_1,10343,152_61,2.0,40.0,49.2,4.2,6.6,7.59999990463257,,4.7,,,0.46000000834465,1.75,,,3.0,4.59999990463257,3.70000004768372,,,,,,5.67999982833862,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,B_152/61_2_1,B_152/61_2_1,10344,152_61,0.0,36.7000007629395,52.6,1.0,9.7,5.69999980926514,,3.5,,,0.419999986886978,0.5,,,0.9,5.30000019073486,4.40000009536743,,,,,,3.23000001907349,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,B_152/61_3_1,B_152/61_3_1,10345,152_61,0.0,28.3999996185303,59.6,2.5,9.5,6.0,,3.8,,,0.479999989271164,0.330000013113022,,,0.6,5.19999980926514,4.40000009536743,,,,,,2.5699999332428,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,B_152/61_4_1,B_152/61_4_1,10346,152_61,0.0,29.6000003814697,56.1,3.2,11.1,6.5,,4.3,,,0.579999983310699,0.259999990463257,,,0.4,5.19999980926514,4.5,,,,,,2.39000010490417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,B_152/61_5_1,B_152/61_5_1,10347,152_61,0.0,29.7999992370605,53.9,1.5,14.8,7.59999990463257,,4.7,,,0.670000016689301,0.219999998807907,,,0.4,5.80000019073486,4.59999990463257,,,,,,2.03999996185303,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,B_152/61_6_1,B_152/61_6_1,10348,152_61,0.0,26.6000003814697,56.6,3.3,13.5,7.30000019073486,,4.6,,,0.689999997615814,0.129999995231628,,,0.2,5.69999980926514,4.80000019073486,,,,,,1.85000002384186,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,B_153/61_1_1,B_153/61_1_1,10338,153_61,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,B_153/61_2_1,B_153/61_2_1,10339,153_61,1.0,44.8,48.7,1.2,5.3,,,3.2,,,,1.11,,,1.9,6.6,4.5,,,,,,4.86,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,B_153/61_3_1,B_153/61_3_1,10340,153_61,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,B_153/61_4_1,B_153/61_4_1,10341,153_61,0.0,50.7,42.1,0.9,6.4,,,2.5,,,,0.21,,,0.4,6.1,4.6,,,,,,2.3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
